D,Year,Date,Acres,TDE1,TDE2,TSE1,TSE2,ATDE,ATSE,MLLW,CDS1,CDS2,ACDS,CDD1,CDD2,ACDD,ST,ET,S#
Possession Point,2019,"June 21, 2019",0.233138049734259,,,,,15.0,,,1.98,,,3.51,,,12:45:00.000-07:00,14:15:00.000-07:00,
Possession Point,2019,"July 19, 2019",57.3677621873856,,,,,15.0,,,0.58,,,4.39,,,11:05:00.000-07:00,13:15:00.000-07:00,
Possession Point,2019,"Aug 16, 2019",60.6713810637874,,,,,15.0,,,1.68,,,4.72,,,11:00:00.000-07:00,12:55:00.000-07:00,
Possession Point,2019,"Sept 26, 2019",60.4579076619775,,,,,15.0,,,2.74,,,5.79,,,08:15:00.000-07:00,10:20:00.000-07:00,
Polnell Point,2019,"Sept 26, 2019",47.3125079172994,,,,,15.0,,,4.6,,,5.52,,,08:05:00.000-07:00,10:19:00.000-07:00,
Ebey's Landing,2019,"Sept 27, 2019",31.902623091698,,,,,11.0,,,4.6,,,7.65,,,08:50:00.000-07:00,10:40:00.000-07:00,
Ben Ure,2018,"July 13, 2018",1.2164741079717,,,,,12.0,,,0.2,,,4.6,,,10:03 AM,10:30 AM,
Ebey's Landing,2018,"July 2, 2018",18.5135467998485,,,,,12.0,,,1.9,,,6.6,,,11:55 AM,2:45 PM,
Ebey's Landing,2018,"Aug 7, 2018",21.293554490128,,,,,12.0,,,2.6,,,7.0,,,7:15 AM,10:25 AM,
Hoypus Point,2018,"July 17, 2018",2.96877435642475,,,,,13.0,,,,,,,,,11:00 AM,5:30 PM,1.0
Hoypus Point,2018,"July 17, 2018",4.50154664773912,,,,,,,,,,,,,,,,2.0
Hoypus Point,2018,"July 17, 2018",4.85254190616137,,,,,,,,,,,,,,,,3.0
Hoypus Point,2018,"Aug 14, 2018",7.48868759318713,,,,,13.0,,,,,,,,,10:15 AM,3:00 PM,1.0
Hoypus Point,2018,"Aug 14, 2018",7.37675112724887,,,,,,,,,,,,,,,,2.0
Hoypus Point,2018,"Aug 14, 2018",5.70315109611443,,,,,,,,,,,,,,,,3.0
Polnell Point,2018,"July 17, 2018",6.14601665898477,,,,,18.0,,,0.9,,,3.7,,,2:15 PM,4:15 PM,
Polnell Point,2018,"Aug 8, 2018",17.3973071055418,,,,,16.0,,,,,,,,,8:16 AM,12:00 PM,
Ben Ure,2018,"July 12, 2018",1.18759643477171,,,,,12.0,,,0.0,,,4.5,,,9:00 AM,9:50 AM,
Polnell Point,2018,"Sept 10, 2018",75.7100076311966,,,,,13.0,,,3.0,,,4.7,,,9:40 AM,12:30 PM,
Ebey's Landing,2018,"May 28, 2018",0.301318068995351,,,,,10.0,,,1.1,,,7.8,,,9:21 AM,11:22 AM,
