parkname,family,genus,species,utm_zone,utm_x,utm_y,elev_m,coll_date
noca,Scrophulariaceae,Penstemon,davidsonii,10.0,644075.0,5371700.0,,2002-08-10
noca,Scrophulariaceae,Penstemon,davidsonii,10.0,644075.0,5371700.0,,2002-08-10
noca,Scrophulariaceae,Penstemon,davidsonii,10.0,644075.0,5371700.0,,2002-08-10
noca,Apocynaceae,Apocynum,androsaemifolium,10.0,640664.0,5419969.0,655.0,2002-07-13
noca,Apocynaceae,Apocynum,androsaemifolium,10.0,640664.0,5419969.0,655.0,2002-07-13
noca,Apocynaceae,Apocynum,androsaemifolium,10.0,640664.0,5419969.0,655.0,2002-07-13
noca,Rosaceae,Rubus,idaeus,10.0,635668.0,5512537.0,500.0,2002-07-12
noca,Caprifoliaceae,Linnaea,borealis,10.0,645459.0,5413630.0,500.0,2002-07-12
noca,Caprifoliaceae,Linnaea,borealis,10.0,645459.0,5413630.0,500.0,2002-07-12
noca,Caprifoliaceae,Linnaea,borealis,10.0,645459.0,5413630.0,500.0,2002-07-12
noca,Rosaceae,Holodiscus,discolor,10.0,645459.0,5413630.0,500.0,2002-07-12
noca,Rosaceae,Holodiscus,discolor,10.0,645459.0,5413630.0,500.0,2002-07-12
noca,Rosaceae,Holodiscus,discolor,10.0,645459.0,5413630.0,500.0,2002-07-12
noca,Aceraceae,Acer,macrophyllum,10.0,645775.0,5413602.0,500.0,2002-07-12
noca,Aceraceae,Acer,macrophyllum,10.0,645775.0,5413602.0,500.0,2002-07-12
noca,Aceraceae,Acer,macrophyllum,10.0,645775.0,5413602.0,500.0,2002-07-12
noca,Orchidaceae,Habenaria,unalascensis,10.0,640664.0,5419969.0,655.0,2002-07-13
noca,Orchidaceae,Habenaria,unalascensis,10.0,640664.0,5419969.0,655.0,2002-07-13
noca,Orchidaceae,Habenaria,unalascensis,10.0,640664.0,5419969.0,655.0,2002-07-13
noca,Asteraceae,Artemisia,michauxiana,10.0,640664.0,5419969.0,655.0,2002-07-13
noca,Asteraceae,Artemisia,michauxiana,10.0,640664.0,5419969.0,655.0,2002-07-13
noca,Asteraceae,Artemisia,michauxiana,10.0,640664.0,5419969.0,655.0,2002-07-13
noca,Asteraceae,Agoseris,grandiflora,10.0,640664.0,5419969.0,655.0,2002-07-13
noca,Asteraceae,Agoseris,grandiflora,10.0,640664.0,5419969.0,655.0,2002-07-13
noca,Asteraceae,Agoseris,grandiflora,10.0,640664.0,5419969.0,655.0,2002-07-13
noca,Taxaceae,Taxus,brevifolia,10.0,641045.0,5419851.0,,2002-07-13
noca,Taxaceae,Taxus,brevifolia,10.0,641045.0,5419851.0,,2002-07-13
noca,Taxaceae,Taxus,brevifolia,10.0,641045.0,5419851.0,,2002-07-13
noca,Poaceae,Bromus,vulgaris,10.0,645459.0,5413630.0,500.0,2002-07-12
noca,Poaceae,Bromus,vulgaris,10.0,645459.0,5413630.0,500.0,2002-07-12
noca,Poaceae,Bromus,vulgaris,10.0,645459.0,5413630.0,500.0,2002-07-12
noca,Asteraceae,Lactuca,muralis,10.0,645190.0,5415080.0,494.0,2002-07-12
noca,Asteraceae,Lactuca,muralis,10.0,645190.0,5415080.0,494.0,2002-07-12
noca,Asteraceae,Lactuca,muralis,10.0,645190.0,5415080.0,494.0,2002-07-12
noca,Cyperaceae,Carex,lenticularis,10.0,645190.0,5415080.0,494.0,2002-07-12
noca,Cyperaceae,Carex,lenticularis,10.0,645190.0,5415080.0,494.0,2002-07-12
noca,Ophioglossaceae,Botrychium,virginianum,10.0,638833.0,5419923.0,630.0,2002-07-13
noca,Dryopteridaceae,Dryopteris,filix-mas,10.0,638833.0,5419923.0,630.0,2002-07-13
noca,Dryopteridaceae,Dryopteris,filix-mas,10.0,638833.0,5419923.0,630.0,2002-07-13
noca,Dryopteridaceae,Dryopteris,filix-mas,10.0,638833.0,5419923.0,630.0,2002-07-13
noca,Ericaceae,Pyrola,secunda,10.0,638833.0,5419923.0,630.0,2002-07-13
noca,Ericaceae,Pyrola,secunda,10.0,638833.0,5419923.0,630.0,2002-07-13
noca,Ericaceae,Pyrola,secunda,10.0,638833.0,5419923.0,630.0,2002-07-13
noca,Ericaceae,Pyrola,chlorantha,10.0,638833.0,5419923.0,630.0,2002-07-13
noca,Ericaceae,Pyrola,chlorantha,10.0,638833.0,5419923.0,630.0,2002-07-13
noca,Orchidaceae,Listera,cordata,10.0,638833.0,5419923.0,630.0,2002-07-13
noca,Orchidaceae,Listera,caurina,10.0,638833.0,5419923.0,630.0,2002-07-13
noca,Orchidaceae,Listera,caurina,10.0,638833.0,5419923.0,630.0,2002-07-13
noca,Lamiaceae,Prunella,vulgaris,10.0,639810.0,5419947.0,575.0,2002-07-13
noca,Lamiaceae,Prunella,vulgaris,10.0,639810.0,5419947.0,575.0,2002-07-13
